Essence_billon;Module;Produit;eco;ParameterEstimate;Effet
BOJ;Pres;DER;;4.609761202;dhpcm__classepetro
BOJ;Pres;F1;;6.831230196;dhpcm__classepetro
BOJ;Pres;F2;;2.966648716;dhpcm__classepetro
BOJ;Pres;F3;;-0.872716668;dhpcm__classepetro
BOJ;Pres;F4;;-0.079638322;dhpcm__classepetro
BOJ;Pres;P;;-0.126804391;dhpcm__classepetro
BOJ;Pres;DER;;-0.457454687;dhpcm2__classepetro
BOJ;Pres;F1;;-0.611650776;dhpcm2__classepetro
BOJ;Pres;F2;;-0.274224584;dhpcm2__classepetro
BOJ;Pres;F3;;0.041342425;dhpcm2__classepetro
BOJ;Pres;F4;;0.000523524;dhpcm2__classepetro
BOJ;Pres;P;;0.049074427;dhpcm2__classepetro
BOJ;Pres;DER;3E;-12.70831781;classepetro_eco
BOJ;Pres;DER;3O;-14.44671043;classepetro_eco
BOJ;Pres;DER;4E;-14.9168877;classepetro_eco
BOJ;Pres;DER;4O_b;-15.57476691;classepetro_eco
BOJ;Pres;DER;4O_c;-13.99651389;classepetro_eco
BOJ;Pres;F1;3E;-20.46800721;classepetro_eco
BOJ;Pres;F1;3O;-21.15446666;classepetro_eco
BOJ;Pres;F1;4E;-20.81444486;classepetro_eco
BOJ;Pres;F1;4O_b;-21.24972775;classepetro_eco
BOJ;Pres;F1;4O_c;-20.61286787;classepetro_eco
BOJ;Pres;F2;3E;-8.085288925;classepetro_eco
BOJ;Pres;F2;3O;-8.709215177;classepetro_eco
BOJ;Pres;F2;4E;-8.973621701;classepetro_eco
BOJ;Pres;F2;4O_b;-8.757207611;classepetro_eco
BOJ;Pres;F2;4O_c;-8.031669667;classepetro_eco
BOJ;Pres;F3;3E;2.775197627;classepetro_eco
BOJ;Pres;F3;3O;2.714824572;classepetro_eco
BOJ;Pres;F3;4E;2.07949334;classepetro_eco
BOJ;Pres;F3;4O_b;2.694511957;classepetro_eco
BOJ;Pres;F3;4O_c;3.323474823;classepetro_eco
BOJ;Pres;F4;3E;-1.023178511;classepetro_eco
BOJ;Pres;F4;3O;-1.590654817;classepetro_eco
BOJ;Pres;F4;4E;-1.498872809;classepetro_eco
BOJ;Pres;F4;4O_b;-2.297899109;classepetro_eco
BOJ;Pres;F4;4O_c;-1.691597611;classepetro_eco
BOJ;Pres;P;3E;-0.223046965;classepetro_eco
BOJ;Pres;P;3O;1.840786478;classepetro_eco
BOJ;Pres;P;4E;3.199526606;classepetro_eco
BOJ;Pres;P;4O_b;1.966726255;classepetro_eco
BOJ;Pres;P;4O_c;-0.271709654;classepetro_eco
BOJ;Vol;DER;;0.103656336;dhpcm_classepetro
BOJ;Vol;F1;;0.079584672;dhpcm_classepetro
BOJ;Vol;F2;;0.050395685;dhpcm_classepetro
BOJ;Vol;F3;;0.033795579;dhpcm_classepetro
BOJ;Vol;F4;;0.07158766;dhpcm_classepetro
BOJ;Vol;P;;0.057976809;dhpcm_classepetro
BOJ;Vol;DER;;-0.000685746;dhpcm2_classepetro
BOJ;Vol;F1;;-0.000505961;dhpcm2_classepetro
BOJ;Vol;F2;;-0.000228968;dhpcm2_classepetro
BOJ;Vol;F3;;-0.000130437;dhpcm2_classepetro
BOJ;Vol;F4;;-0.000510874;dhpcm2_classepetro
BOJ;Vol;P;;-0.000238319;dhpcm2_classepetro
BOJ;Vol;DER;3E;-4.180695683;classepetro_eco
BOJ;Vol;DER;3O;-4.247393997;classepetro_eco
BOJ;Vol;DER;4E;-4.32233724;classepetro_eco
BOJ;Vol;DER;4O_b;-4.187358327;classepetro_eco
BOJ;Vol;DER;4O_c;-4.264986979;classepetro_eco
BOJ;Vol;F1;3E;-3.327864274;classepetro_eco
BOJ;Vol;F1;3O;-3.311904349;classepetro_eco
BOJ;Vol;F1;4E;-3.400341839;classepetro_eco
BOJ;Vol;F1;4O_b;-3.448146443;classepetro_eco
BOJ;Vol;F1;4O_c;-3.341965483;classepetro_eco
BOJ;Vol;F2;3E;-2.79432003;classepetro_eco
BOJ;Vol;F2;3O;-2.773738634;classepetro_eco
BOJ;Vol;F2;4E;-2.844178703;classepetro_eco
BOJ;Vol;F2;4O_b;-2.838147457;classepetro_eco
BOJ;Vol;F2;4O_c;-2.836197617;classepetro_eco
BOJ;Vol;F3;3E;-2.5165773;classepetro_eco
BOJ;Vol;F3;3O;-2.521353132;classepetro_eco
BOJ;Vol;F3;4E;-2.539627675;classepetro_eco
BOJ;Vol;F3;4O_b;-2.491098957;classepetro_eco
BOJ;Vol;F3;4O_c;-2.539183289;classepetro_eco
BOJ;Vol;F4;3E;-4.181406927;classepetro_eco
BOJ;Vol;F4;3O;-4.071300344;classepetro_eco
BOJ;Vol;F4;4E;-3.949170677;classepetro_eco
BOJ;Vol;F4;4O_b;-3.72293001;classepetro_eco
BOJ;Vol;F4;4O_c;-4.197105606;classepetro_eco
BOJ;Vol;P;3E;-3.344467606;classepetro_eco
BOJ;Vol;P;3O;-3.057582884;classepetro_eco
BOJ;Vol;P;4E;-2.845498671;classepetro_eco
BOJ;Vol;P;4O_b;-3.15160932;classepetro_eco
BOJ;Vol;P;4O_c;-3.451846662;classepetro_eco
ERS;Pres;F1;;7.899093633;dhpcm__classepetro
ERS;Pres;F2;;5.38725632;dhpcm__classepetro
ERS;Pres;F3;;0.577554379;dhpcm__classepetro
ERS;Pres;F4;;-1.207982054;dhpcm__classepetro
ERS;Pres;P;;-0.388791942;dhpcm__classepetro
ERS;Pres;F1;;-0.705830359;dhpcm2__classepetro
ERS;Pres;F2;;-0.504481417;dhpcm2__classepetro
ERS;Pres;F3;;-0.06020332;dhpcm2__classepetro
ERS;Pres;F4;;0.113819868;dhpcm2__classepetro
ERS;Pres;P;;-0.002495116;dhpcm2__classepetro
ERS;Pres;F1;2O;-22.63881553;classepetro_eco
ERS;Pres;F1;3O_a;-24.05425562;classepetro_eco
ERS;Pres;F1;3O_b;-23.61300523;classepetro_eco
ERS;Pres;F1;4E;-23.46416502;classepetro_eco
ERS;Pres;F1;4O_b;-25.48762488;classepetro_eco
ERS;Pres;F1;4O_c;-26.02882607;classepetro_eco
ERS;Pres;F2;2O;-14.26143237;classepetro_eco
ERS;Pres;F2;3O_a;-14.50646695;classepetro_eco
ERS;Pres;F2;3O_b;-14.08778493;classepetro_eco
ERS;Pres;F2;4E;-15.04400949;classepetro_eco
ERS;Pres;F2;4O_b;-16.28048643;classepetro_eco
ERS;Pres;F2;4O_c;-15.49648718;classepetro_eco
ERS;Pres;F3;2O;-1.324863303;classepetro_eco
ERS;Pres;F3;3O_a;-1.420293363;classepetro_eco
ERS;Pres;F3;3O_b;-0.73021644;classepetro_eco
ERS;Pres;F3;4E;-1.657044718;classepetro_eco
ERS;Pres;F3;4O_b;-1.460122087;classepetro_eco
ERS;Pres;F3;4O_c;-1.547529343;classepetro_eco
ERS;Pres;F4;2O;-0.802785167;classepetro_eco
ERS;Pres;F4;3O_a;0.656991242;classepetro_eco
ERS;Pres;F4;3O_b;0.637358909;classepetro_eco
ERS;Pres;F4;4E;0.854803887;classepetro_eco
ERS;Pres;F4;4O_b;0.746014981;classepetro_eco
ERS;Pres;F4;4O_c;0.700457774;classepetro_eco
ERS;Pres;P;2O;4.241341912;classepetro_eco
ERS;Pres;P;3O_a;3.767310422;classepetro_eco
ERS;Pres;P;3O_b;3.934448963;classepetro_eco
ERS;Pres;P;4E;6.717732239;classepetro_eco
ERS;Pres;P;4O_b;6.9772044;classepetro_eco
ERS;Pres;P;4O_c;3.666891613;classepetro_eco
ERS;Vol;F1;;0.0260058;dhpcm_classepetro
ERS;Vol;F2;;0.070216048;dhpcm_classepetro
ERS;Vol;F3;;0.043302026;dhpcm_classepetro
ERS;Vol;F4;;0.045804378;dhpcm_classepetro
ERS;Vol;P;;0.043878265;dhpcm_classepetro
ERS;Vol;F1;;0.000152567;dhpcm2_classepetro
ERS;Vol;F2;;-0.000384947;dhpcm2_classepetro
ERS;Vol;F3;;-9.51E-05;dhpcm2_classepetro
ERS;Vol;F4;;-0.000218604;dhpcm2_classepetro
ERS;Vol;P;;-0.000135063;dhpcm2_classepetro
ERS;Vol;F1;2O;-2.000032489;classepetro_eco
ERS;Vol;F1;3O_a;-2.209233164;classepetro_eco
ERS;Vol;F1;3O_b;-2.331306841;classepetro_eco
ERS;Vol;F1;4E;-2.298850761;classepetro_eco
ERS;Vol;F1;4O_b;-2.142513643;classepetro_eco
ERS;Vol;F1;4O_c;-1.868976653;classepetro_eco
ERS;Vol;F2;2O;-3.122209895;classepetro_eco
ERS;Vol;F2;3O_a;-3.320402954;classepetro_eco
ERS;Vol;F2;3O_b;-3.29440476;classepetro_eco
ERS;Vol;F2;4E;-3.367137051;classepetro_eco
ERS;Vol;F2;4O_b;-3.335787079;classepetro_eco
ERS;Vol;F2;4O_c;-3.358351735;classepetro_eco
ERS;Vol;F3;2O;-2.834340728;classepetro_eco
ERS;Vol;F3;3O_a;-2.914646605;classepetro_eco
ERS;Vol;F3;3O_b;-2.840014418;classepetro_eco
ERS;Vol;F3;4E;-3.063305941;classepetro_eco
ERS;Vol;F3;4O_b;-2.789872622;classepetro_eco
ERS;Vol;F3;4O_c;-2.956640277;classepetro_eco
ERS;Vol;F4;2O;-3.709102479;classepetro_eco
ERS;Vol;F4;3O_a;-3.958036864;classepetro_eco
ERS;Vol;F4;3O_b;-3.652398573;classepetro_eco
ERS;Vol;F4;4E;-3.681043067;classepetro_eco
ERS;Vol;F4;4O_b;-3.397048645;classepetro_eco
ERS;Vol;F4;4O_c;-3.402550589;classepetro_eco
ERS;Vol;P;2O;-2.428967922;classepetro_eco
ERS;Vol;P;3O_a;-2.585680095;classepetro_eco
ERS;Vol;P;3O_b;-2.699553881;classepetro_eco
ERS;Vol;P;4E;-2.350371049;classepetro_eco
ERS;Vol;P;4O_b;-2.454156812;classepetro_eco
ERS;Vol;P;4O_c;-2.652774784;classepetro_eco
