Placette;Espece;DHPcm;Nombre;Sup_PE
TEM23APC5000;BOJ;2;2;0.25
TEM23APC5000;BOJ;4;1;0.25
TEM23APC5000;BOJ;6;1;0.25
TEM23APC5000;BOJ;8;1;0.25
TEM23APC5000;EPR;2;1;0.25
TEM23APC5000;ERR;2;9;0.25
TEM23APC5000;ERR;4;1;0.25
TEM23APC5000;ERR;6;2;0.25
TEM23APC5000;ERS;2;34;0.25
TEM23APC5000;ERS;4;42;0.25
TEM23APC5000;ERS;6;33;0.25
TEM23APC5000;ERS;8;27;0.25
TEM23APC5000;HEG;2;61;0.25
TEM23APC5000;HEG;4;13;0.25
TEM23APC5000;HEG;6;5;0.25
TEM23APC5000;HEG;8;6;0.25
TEM23APC5000;SAB;2;7;0.25
TEM23APC5000;SAB;4;5;0.25
