GrEspece;rid1;ProbQualC
BOJ;2o;0.730263157894737
BOJ;3a;0.730263157894737
BOJ;3b;0.730263157894737
BOJ;3c;0.873684210526316
BOJ;3d;0.903225806451613
BOJ;4e;0.704545454545455
BOJ;4o;0.805352798053528
BOJ;DU;0.876847290640394
BOJ;SV;0.92191435768262
ERR;2o;0.681318681318681
ERR;3a;0.470588235294118
ERR;3b;0.681318681318681
ERR;3c;0.681318681318681
ERR;3d;0.681318681318681
ERR;4e;0.517857142857143
ERR;4o;0.517857142857143
ERR;DU;0.80952380952381
ERR;SV;0.506849315068493
ERS;2o;0.802941176470588
ERS;3a;0.614255765199161
ERS;3b;0.768965517241379
ERS;3c;0.785123966942149
ERS;3d;0.868085106382979
ERS;4e;0.933333333333333
ERS;4o;0.750911300121507
ERS;DU;0.859307359307359
ERS;SV;0.802919708029197
FEN;2o;0.931506849315068
FEN;3a;0.9
FEN;3b;0.88
FEN;3c;0.88
FEN;3d;0.88
FEN;4e;0.88
FEN;4o;0.88
FEN;DU;0.88
FEN;SV;0.88
FIN;2o;0.719626168224299
FIN;3a;0.719626168224299
FIN;3b;0.719626168224299
FIN;3c;0.719626168224299
FIN;3d;0.719626168224299
FIN;4e;0.719626168224299
FIN;4o;0.719626168224299
FIN;DU;0.719626168224299
FIN;SV;0.719626168224299
HEG;2o;0.531914893617021
HEG;3a;0.321739130434783
HEG;3b;0.386861313868613
HEG;3c;0.340909090909091
HEG;3d;0.340909090909091
HEG;4e;0.340909090909091
HEG;4o;0.340909090909091
HEG;DU;0.440298507462687
HEG;SV;0.475409836065574
