VegPotID;SubModuleID;ParameterEstimate;CovParm;Subject
1;1;0.226019459;mu_ik;step
1;1;0.032260538;mu_i;placette
1;2;0.092045131;mu_ik;step
1;2;0.11772798;mu_i;placette
1;2;0.843433461;RHO;NA
1;2;0.718606342;Gamma;NA
1;2;1.106574899;Residual;NA
1;3;0.066512557;mu_i;placette
1;4;0.097189314;mu_i;placette
1;5;0.229900371;mu_i;placette
1;6;0.042060924;mu_ik;step
1;6;0.045690927;mu_i;placette
1;6;2.170381398;theta;NA
1;6;0.129162272;sigma2_res;NA
1;7;0.162115944;mu_ik;step
1;7;0.135153409;mu_i;placette
1;8;0.816021586;mu_ik;step
1;8;0.360249689;mu_i;placette
